"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT05","WT07","WT08","WT09","WT13","WT14","WT16","WT21"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-12","4.25","0.00",,,,"62","49","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-13","4.92","0.00",,,,"68","49","    1",,,,,"    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-14","4.03","0.00",,,,"77","51",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-15","5.37","0.00",,,,"79","54",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-16","5.14","0.00",,,,"80","53",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-17","5.14","0.00",,,,"75","54",,,,,,"    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-18","4.92","0.00",,,,"62","55","    1","    1",,,"    1","    1","    1","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-19","6.71","0.10",,,,"60","53",,,,"    1","    1","    1",,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-20","9.40","0.06",,,,"60","51",,,,,,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-21","14.76","0.02",,,,"62","53","    1",,,,,"    1",,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-22","10.51","0.00",,,,"70","53",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-23","7.16","0.00",,,,"65","46",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-24","5.59","0.00",,,,"62","52","    1",,,"    1","    1","    1",,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-25","5.82","0.00",,,,"65","53","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-26","5.37","0.00",,,,"71","54",,,,,,"    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-27","11.18","0.54",,,,"61","51","    1",,,"    1",,,,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-28","5.37","0.00",,,,"63","46",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-01","6.26","0.00",,,,"65","50",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-02","8.05","0.00",,,,"63","55",,,,"    1",,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-03","10.07","0.02",,,,"62","54",,,,"    1",,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-04","9.84","0.01",,,,"60","51",,,,"    1",,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-05","5.59","0.00",,,,"64","47",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-06","7.61","0.18",,,,"61","51","    1",,,"    1",,,,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-07","12.08","0.00",,,,"63","50",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-08","9.62","0.00",,,,"61","52",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-09","12.30","0.00",,,,"60","48",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-10","13.87","0.00",,,,"61","50",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-11","6.71","0.00",,,,"64","46",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-12","7.38","0.00",,,,"65","47",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-13","5.82","0.00",,,,"60","50",,,,,"    1","    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-14","6.26","0.00",,,,"65","49",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-15","5.14","0.00",,,,"76","49",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-16","7.61","0.00",,,,"85","57",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-17","6.04","0.00",,,,"83","59",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-18","6.26","0.00",,,,"72","55","    1",,,,"    1","    1",,,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-19","6.71","0.00",,,,"69","53","    1",,,,"    1","    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-20","5.82","0.00",,,,"75","53","    1","    1",,,"    1","    1","    1","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-21","5.14","0.00",,,,"69","52","    1","    1",,,"    1","    1","    1","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-22","5.37","0.00",,,,"64","51","    1",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-23","7.83","0.00",,,,"66","55",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-24","7.61","0.00",,,,"69","53","    1",,,,"    1","    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-25","6.49","0.00",,,,"62","54",,,,,,"    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-26","8.95","0.00",,,,"68","52",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-27","6.04","0.00",,,,"82","51",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-28","7.83","0.00",,,,"81","55",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-29","8.72","0.00",,,,"72","55",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-30","9.17","0.00",,,,"64","57",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-31","12.75","0.00",,,,"62","53",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-01","10.96","0.00",,,,"59","49",,,,"    1",,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-02","7.61","0.00",,,,"63","49",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-03","9.17","0.00",,,,"64","51",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-04","7.61","0.01",,,,"61","52","    1",,,"    1","    1","    1",,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-05","14.99","0.23",,,,"62","52","    1",,,"    1",,,,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-06","6.04","0.00",,,,"66","49",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-07","6.26","0.00",,,,"77","52",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-08","5.82","0.00",,,,"79","56",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-09","6.93","0.00",,,,"71","55","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-10","7.16","0.00",,,,"62","56",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-11","9.84","0.56",,,,"63","53","    1",,,"    1",,,,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-12","11.86","0.21",,,,"61","52","    1",,,"    1",,,,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-13","6.93","0.00",,,,"62","48",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-14","7.61","0.00",,,,"64","50",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-15","6.71","0.00",,,,"65","53",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-16","7.16","0.00",,,,"64","53",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-17","5.82","0.00",,,,"69","53",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-18","6.71","0.00",,,,"67","53","    1","    1",,,"    1","    1","    1","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-19","9.62","0.00",,,,"66","57",,,,,"    1","    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-20","13.20","0.14",,,,"65","54","    1",,,"    1",,"    1",,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-21","21.03","0.06",,,,"61","50",,,,,,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-22","5.37","0.00",,,,"59","47",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-23","7.61","0.00",,,,"63","46",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-24","8.05","0.00",,,,"64","54","    1",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-25","7.16","0.00",,,,"63","53","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-26","7.38","0.00",,,,"61","53","    1","    1",,,"    1","    1","    1","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-27","6.04","0.02",,,,"61","56","    1",,,,"    1","    1",,"    1","    1","    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-28","15.66","0.02",,,,"64","55","    1",,,"    1",,,,"    1","    1","    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-29","15.21","0.00",,,,"65","53",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-30","13.42","0.00",,,,"68","56",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-01","8.50","0.00",,,,"67","52",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-02","8.95","0.00",,,,"69","54",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-03","7.61","0.00",,,,"70","56","    1",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-04","5.14","0.00",,,,"67","55","    1","    1",,,"    1","    1","    1","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-05","6.26","0.00",,,,"66","56","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-06","5.59","0.00",,,,"67","56",,,,,,"    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-07","6.71","0.00",,,,"70","57","    1",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-08","6.93","0.00",,,,"69","58",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-09","11.18","0.00",,,,"64","55",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-10","10.07","0.00",,,,"65","51",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-11","12.75","0.00",,,,"65","54",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-12","6.71","0.00",,,,"68","51",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-13","7.16","0.00",,,,"69","57","    1",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-14","5.59","0.00",,,,"65","56","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-15","6.71","0.00",,,,"64","55","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-16","6.71","0.00",,,,"65","57","    1",,,"    1","    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-17","6.93","0.01",,,,"61","55","    1",,,"    1",,"    1",,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-18","6.49","0.04",,,,"65","56","    1",,,"    1","    1","    1",,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-19","6.93","0.00",,,,"63","55","    1","    1",,,"    1","    1","    1","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-20","7.38","0.00",,,,"69","56","    1",,,,"    1","    1",,"    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-21","8.95","0.00",,,,"68","56","    1",,,,,,,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-22","11.18","0.00",,,,"66","54",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-23","15.21","0.00",,,,"63","52",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-24","11.86","0.00",,,,"65","52",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-25","8.72","0.00",,,,"65","51",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-26","8.28","0.00",,,,"65","55",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-27","9.62","0.03",,,,"66","57","    1",,,"    1",,"    1",,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-28","10.29","0.00",,,,"68","54",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-29","8.50","0.00",,,,"75","54","    1",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-30","7.38","0.00",,,,"74","57",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-31","7.61","0.00",,,,"73","60",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-01","6.49","0.00",,,,"67","59",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-02","7.38","0.00",,,,"68","59",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-03","5.37","0.00",,,,"68","57","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-04","5.59","0.00",,,,"67","60","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-05","4.47","0.00",,,,"70","61","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-06","6.71","0.00",,,,"70","62","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-07","6.71","0.00",,,,"69","60","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-08","7.38","0.00",,,,"69","60","    1",,,,"    1","    1",,"    1","    1",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-09","6.93","0.00",,,,"68","60","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-10","7.61","0.00",,,,"70","63",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-11","7.61","0.00",,,,"70","60",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-12","5.82","0.00",,,,"70","60",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-13","7.16","0.00",,,,"68","60",,,,,,"    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-14","7.61","0.00",,,,"69","59","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-15","6.49","0.00",,,,"72","61","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-16","8.50","0.00",,,,"70","61",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-17","6.49","0.00",,,,"70","60",,,,,"    1","    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-18","8.05","0.00",,,,"70","61",,,,,"    1","    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-19","8.95","0.00",,,,"70","60",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-20","8.05","0.00",,,,"70","58","    1",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-21","8.50","0.00",,,,"68","60",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-22","8.05","0.00",,,,"69","59",,,,,"    1","    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-23","7.83","0.00",,,,"68","59",,,,,"    1","    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-24","6.26","0.00",,,,"68","60",,,,,"    1","    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-25","7.38","0.00",,,,"70","61",,,,,"    1","    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-26","7.38","0.00",,,,"68","61",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-27","5.82","0.00",,,,"70","60",,,,,"    1","    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-28","6.93","0.00",,,,"69","62","    1",,,,"    1","    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-29","6.93","0.00",,,,"68","62",,,,,"    1","    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06-30","5.37","0.00",,,,"68","60","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-07-01","6.71","0.00",,,,"69","61","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-07-02","6.93","0.00",,,,"69","59","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-07-03","7.16","0.00",,,,"72","61",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-07-04","8.95","0.00",,,,"72","61",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-07-05","7.16","0.00",,,,"67","61",,,,,"    1","    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-07-06","8.95","0.00",,,,"66","58","    1",,,,,"    1",,"    1","    1",,
