STATE,YEAR,WEEK,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Texas,2013,34,1.65108,542,53,32827
Utah,2013,34,0.8474,124,42,14633
Vermont,2013,34,1.35922,21,6,1545
Virginia,2013,34,1.00721,155,53,15389
Washington,2013,34,0.205109,11,9,5363
West Virginia,2013,34,0.0998814,16,29,16019
Wisconsin,2013,34,0.2849,6,27,2106
Wyoming,2013,34,0,0,13,2621
Virgin Islands,2013,34,2.94118,10,1,340
New York City,2013,34,0.875043,732,37,83653
Alabama,2013,35,0.449848,37,16,8225
Alaska,2013,35,0.234742,4,4,1704
Arizona,2013,35,0.773549,113,20,14608
Arkansas,2013,35,0.0576369,1,5,1735
California,2013,35,1.53035,389,75,25419
Colorado,2013,35,0,0,0,0
Connecticut,2013,35,0,0,4,1077
Delaware,2013,35,0,0,1,264
District of Columbia,2013,35,5.1149,69,1,1349
Florida,2013,35,X,X,X,X
Georgia,2013,35,0.481037,147,29,30559
Hawaii,2013,35,1.33983,11,11,821
Idaho,2013,35,0.0789266,1,4,1267
Illinois,2013,35,1.03193,383,68,37115
Indiana,2013,35,0.349922,27,28,7716
Iowa,2013,35,0,0,3,1259
Kansas,2013,35,0.295858,9,13,3042
Kentucky,2013,35,0.153227,8,5,5221
Louisiana,2013,35,1.57083,501,51,31894
Maine,2013,35,0.680272,33,29,4851
Maryland,2013,35,2.21441,63,8,2845
Massachusetts,2013,35,0.37996,97,28,25529
Michigan,2013,35,1.3688,106,27,7744
Minnesota,2013,35,0.769804,31,10,4027
Mississippi,2013,35,2.52181,399,38,15822
Missouri,2013,35,0.081389,3,18,3686
Montana,2013,35,0,0,4,1717
Nebraska,2013,35,0.763359,8,8,1048
Nevada,2013,35,0.55931,24,13,4291
New Hampshire,2013,35,0,0,16,2683
New Jersey,2013,35,1.34721,44,9,3266
New Mexico,2013,35,1.10455,73,14,6609
New York,2013,35,0.396396,33,170,8325
North Carolina,2013,35,0.089153,3,14,3365
North Dakota,2013,35,0,0,1,252
Ohio,2013,35,0.299835,29,26,9672
Oklahoma,2013,35,0.430866,11,15,2553
Oregon,2013,35,0,0,6,1002
Pennsylvania,2013,35,0.36554,44,34,12037
Rhode Island,2013,35,0,0,18,4341
South Carolina,2013,35,0.0722804,4,11,5534
South Dakota,2013,35,0.527241,3,3,569
Tennessee,2013,35,0.15842,17,50,10731
Texas,2013,35,2.14174,741,57,34598
Utah,2013,35,1.39539,155,31,11108
Vermont,2013,35,2.2695,32,5,1410
Virginia,2013,35,0.812642,415,72,51068
Washington,2013,35,0.180759,9,9,4979
West Virginia,2013,35,0.23888,29,28,12140
Wisconsin,2013,35,0.223285,7,30,3135
Wyoming,2013,35,0.0732601,2,12,2730
Virgin Islands,2013,35,0.606061,2,1,330
New York City,2013,35,0.846482,728,48,86003
Alabama,2013,36,0.794538,64,17,8055
Alaska,2013,36,0.369549,5,4,1353
Arizona,2013,36,0.860215,80,19,9300
Arkansas,2013,36,0.123153,2,5,1624
California,2013,36,1.63164,354,76,21696
Colorado,2013,36,0.739927,128,11,17299
Connecticut,2013,36,0.212465,3,5,1412
Delaware,2013,36,0,0,1,229
District of Columbia,2013,36,4.07659,66,1,1619
Florida,2013,36,X,X,X,X
Georgia,2013,36,0.585656,187,32,31930
Hawaii,2013,36,1.427,13,11,911
Idaho,2013,36,0,0,4,1247
Illinois,2013,36,1.18983,439,72,36896
Indiana,2013,36,0.538401,34,27,6315
Iowa,2013,36,0.165017,2,3,1212
Kansas,2013,36,0.334652,11,13,3287
Kentucky,2013,36,0.133283,7,5,5252
Louisiana,2013,36,1.67113,512,52,30638
Maine,2013,36,0.517435,23,29,4445
Maryland,2013,36,1.11243,75,10,6742
Massachusetts,2013,36,0.256022,22,17,8593
Michigan,2013,36,1.20918,107,35,8849
Minnesota,2013,36,0.117786,4,10,3396
Mississippi,2013,36,2.28196,393,41,17222
Missouri,2013,36,0.306279,10,18,3265
Montana,2013,36,0,0,4,1424
Nebraska,2013,36,3.4678,49,10,1413
Nevada,2013,36,0.696926,39,15,5596
New Hampshire,2013,36,0.1443,3,16,2079
New Jersey,2013,36,0.901886,33,10,3659
New Mexico,2013,36,1.30741,78,15,5966
New York,2013,36,0.347315,26,163,7486
North Carolina,2013,36,0.907323,28,14,3086
North Dakota,2013,36,0,0,1,222
Ohio,2013,36,0.364596,29,27,7954
Oklahoma,2013,36,1.62081,43,17,2653
Oregon,2013,36,0.143062,1,5,699
Pennsylvania,2013,36,0.475082,51,34,10735
Rhode Island,2013,36,0.0466418,2,18,4288
South Carolina,2013,36,0.0932662,5,11,5361
South Dakota,2013,36,0.954198,5,3,524
Tennessee,2013,36,0.0511143,5,50,9782
Texas,2013,36,2.89449,908,55,31370
Utah,2013,36,1.06429,147,42,13812
Vermont,2013,36,1.64722,24,6,1457
Virginia,2013,36,1.03449,673,100,65056
Washington,2013,36,0.143301,6,9,4187
West Virginia,2013,36,0.285068,29,29,10173
Wisconsin,2013,36,0.4,12,27,3000
Wyoming,2013,36,0.129814,3,12,2311
Virgin Islands,2013,36,2.67062,9,1,337
New York City,2013,36,0.843707,734,46,86997
Alabama,2013,37,0.73914,65,17,8794
Alaska,2013,37,0.608519,9,4,1479
Arizona,2013,37,0.746062,81,19,10857
Arkansas,2013,37,0.220872,4,4,1811
California,2013,37,1.70543,440,75,25800
Colorado,2013,37,0.623053,124,10,19902
Connecticut,2013,37,0.0686342,1,5,1457
Delaware,2013,37,0,0,1,224
District of Columbia,2013,37,5.61511,110,1,1959
Florida,2013,37,X,X,X,X
Georgia,2013,37,0.630374,217,33,34424
Hawaii,2013,37,1.61663,21,13,1299
Idaho,2013,37,0.179426,3,5,1672
Illinois,2013,37,1.37006,560,75,40874
Indiana,2013,37,0.377169,30,30,7954
Iowa,2013,37,0.0716846,1,3,1395
Kansas,2013,37,0.159915,6,14,3752
Kentucky,2013,37,0.222924,12,5,5383
Louisiana,2013,37,1.82213,545,46,29910
Maine,2013,37,0.471311,23,29,4880
Maryland,2013,37,2.35627,75,9,3183
Massachusetts,2013,37,0.431389,105,29,24340
Michigan,2013,37,1.71218,116,30,6775
Minnesota,2013,37,0.126904,4,8,3152
Mississippi,2013,37,2.39607,415,42,17320
Missouri,2013,37,0.337838,13,18,3848
Montana,2013,37,0,0,4,1741
Nebraska,2013,37,4.96134,77,9,1552
Nevada,2013,37,0.663538,41,15,6179
New Hampshire,2013,37,0.0382409,1,16,2615
New Jersey,2013,37,0.896861,60,11,6690
New Mexico,2013,37,1.53489,86,14,5603
New York,2013,37,0.32359,30,163,9271
North Carolina,2013,37,0.830565,30,13,3612
North Dakota,2013,37,0.265252,1,2,377
Ohio,2013,37,0.322719,30,27,9296
Oklahoma,2013,37,1.04869,28,16,2670
Oregon,2013,37,0.14245,1,4,702
Pennsylvania,2013,37,0.66058,89,35,13473
Rhode Island,2013,37,0.0850051,5,18,5882
South Carolina,2013,37,0.13901,8,11,5755
South Dakota,2013,37,0.172414,1,3,580
Tennessee,2013,37,0.149659,16,47,10691
Texas,2013,37,2.86301,1129,73,39434
Utah,2013,37,0.102071,7,13,6858
Vermont,2013,37,1.67504,30,7,1791
Virginia,2013,37,1.17679,687,98,58379
Washington,2013,37,0.203139,11,9,5415
West Virginia,2013,37,0.394207,46,29,11669
Wisconsin,2013,37,0.194553,8,28,4112
Wyoming,2013,37,0.195771,5,12,2554
Virgin Islands,2013,37,0.833333,3,1,360
New York City,2013,37,0.919671,806,47,87640
Alabama,2013,38,0.665083,56,16,8420
Alaska,2013,38,0.894454,15,5,1677
Arizona,2013,38,0.784434,77,18,9816
Arkansas,2013,38,0.715137,12,4,1678
California,2013,38,1.67839,451,77,26871
Colorado,2013,38,0.606296,125,10,20617
Connecticut,2013,38,0.379507,6,5,1581
Delaware,2013,38,0,0,1,298
District of Columbia,2013,38,5.92142,107,1,1807
Florida,2013,38,X,X,X,X
Georgia,2013,38,0.702136,239,30,34039
Hawaii,2013,38,1.37195,18,13,1312
Idaho,2013,38,0.0550358,1,5,1817
Illinois,2013,38,1.45643,578,72,39686
Indiana,2013,38,0.576142,44,29,7637
Iowa,2013,38,0,0,3,1288
Kansas,2013,38,0.269469,10,13,3711
Kentucky,2013,38,0.114613,6,5,5235
Louisiana,2013,38,1.88159,607,55,32260
Maine,2013,38,0.207756,9,23,4332
Maryland,2013,38,2.0801,67,9,3221
Massachusetts,2013,38,0.532184,137,28,25743
Michigan,2013,38,1.775,142,31,8000
Minnesota,2013,38,0.0637552,2,8,3137
Mississippi,2013,38,2.15876,350,41,16213
Missouri,2013,38,0.431566,14,17,3244
Montana,2013,38,0.0581734,1,4,1719
Nebraska,2013,38,3.85941,56,8,1451
Nevada,2013,38,0.629987,30,14,4762
New Hampshire,2013,38,0.0581058,1,14,1721
New Jersey,2013,38,1.12296,79,11,7035
New Mexico,2013,38,1.82122,109,15,5985
New York,2013,38,0.38431,29,133,7546
North Carolina,2013,38,0.465297,12,11,2579
North Dakota,2013,38,0,0,1,302
Ohio,2013,38,0.247441,22,25,8891
Oklahoma,2013,38,0.842171,27,17,3206
Oregon,2013,38,0.443787,3,6,676
Pennsylvania,2013,38,0.72715,86,33,11827
Rhode Island,2013,38,0.0653061,4,18,6125
South Carolina,2013,38,0.0937031,5,9,5336
South Dakota,2013,38,0.515274,14,17,2717
Tennessee,2013,38,0.16802,18,48,10713
Texas,2013,38,3.05223,1181,74,38693
Utah,2013,38,0.218716,14,12,6401
Vermont,2013,38,2.22482,38,7,1708
Virginia,2013,38,1.29821,862,103,66399
Washington,2013,38,0.210647,11,8,5222
West Virginia,2013,38,0.346605,39,28,11252
Wisconsin,2013,38,0.484262,18,29,3717
Wyoming,2013,38,0.112066,3,12,2677
Virgin Islands,2013,38,1.05541,4,1,379
New York City,2013,38,1.30989,1209,58,92298
Alabama,2013,39,1.55075,132,17,8512
Alaska,2013,39,0.517241,9,5,1740
Arizona,2013,39,0.947648,82,17,8653
Arkansas,2013,39,0,0,3,1388
California,2013,39,1.94581,530,80,27238
Colorado,2013,39,0.584323,123,9,21050
Connecticut,2013,39,2.31101,59,5,2553
Delaware,2013,39,0,0,1,267
District of Columbia,2013,39,5.34351,112,1,2096
Florida,2013,39,X,X,X,X
Georgia,2013,39,0.695063,242,31,34817
Hawaii,2013,39,1.77353,26,15,1466
Idaho,2013,39,0.164654,3,5,1822
Illinois,2013,39,1.43988,562,71,39031
Indiana,2013,39,0.654391,43,27,6571
Iowa,2013,39,0.162851,52,8,31931
Kansas,2013,39,0.284495,10,14,3515
Kentucky,2013,39,0.220629,12,6,5439
Louisiana,2013,39,1.99498,628,55,31479
Maine,2013,39,0.281258,11,21,3911
Maryland,2013,39,2.27848,72,9,3160
Massachusetts,2013,39,0.495255,131,31,26451
Michigan,2013,39,1.18761,143,36,12041
Minnesota,2013,39,0.125905,4,8,3177
Mississippi,2013,39,2.27382,378,44,16624
Missouri,2013,39,0.354724,11,15,3101
Montana,2013,39,0,0,4,1576
Nebraska,2013,39,4.7043,70,9,1488
Nevada,2013,39,0.228224,6,12,2629
New Hampshire,2013,39,0.0802246,2,15,2493
New Jersey,2013,39,0.911906,53,11,5812
New Mexico,2013,39,2.47041,144,13,5829
New York,2013,39,0.266016,24,137,9022
North Carolina,2013,39,1.66855,59,13,3536
North Dakota,2013,39,0,0,2,445
Ohio,2013,39,0.723643,58,25,8015
Oklahoma,2013,39,1.02987,30,17,2913
Oregon,2013,39,0.436137,7,6,1605
Pennsylvania,2013,39,0.607761,78,33,12834
Rhode Island,2013,39,0.0317712,2,18,6295
South Carolina,2013,39,0.0948227,5,9,5273
South Dakota,2013,39,0.601323,20,18,3326
Tennessee,2013,39,0.255924,27,48,10550
Texas,2013,39,3.29382,1256,100,38132
Utah,2013,39,1.03354,106,24,10256
Vermont,2013,39,3.54191,60,7,1694
Virginia,2013,39,1.28907,796,105,61750
Washington,2013,39,0.309438,18,9,5817
West Virginia,2013,39,0.597693,71,29,11879
Wisconsin,2013,39,0.434888,18,32,4139
Wyoming,2013,39,0.205086,5,12,2438
Virgin Islands,2013,39,1.28535,5,1,389
New York City,2013,39,1.55648,1483,59,95279
Alabama,2013,40,1.59044,201,27,12638
Alaska,2013,40,0.6238,13,9,2084
Arizona,2013,40,0.792311,230,59,29029
Arkansas,2013,40,1.63326,66,18,4041
California,2013,40,1.52479,633,137,41514
Colorado,2013,40,0.652244,142,9,21771
Connecticut,2013,40,0.701388,47,27,6701
Delaware,2013,40,0.49636,15,12,3022
District of Columbia,2013,40,5.41463,111,3,2050
Florida,2013,40,X,X,X,X
Georgia,2013,40,1.00692,380,41,37739
Hawaii,2013,40,1.25261,18,16,1437
Idaho,2013,40,0.5631,17,8,3019
Illinois,2013,40,1.41144,859,105,60860
Indiana,2013,40,0.918555,90,38,9798
Iowa,2013,40,0.170691,62,21,36323
Kansas,2013,40,0.333611,24,32,7194
Kentucky,2013,40,0.242983,49,17,20166
Louisiana,2013,40,2.02694,596,49,29404
Maine,2013,40,0.823958,52,33,6311
Maryland,2013,40,0.544569,57,18,10467
Massachusetts,2013,40,0.621216,196,57,31551
Michigan,2013,40,1.1005,182,48,16538
Minnesota,2013,40,0.259572,12,12,4623
Mississippi,2013,40,2.57892,415,40,16092
Missouri,2013,40,1.10175,85,22,7715
Montana,2013,40,0.0852152,2,8,2347
Nebraska,2013,40,0.469484,11,15,2343
Nevada,2013,40,0.584908,91,34,15558
New Hampshire,2013,40,0.0760601,4,28,5259
New Jersey,2013,40,1.51614,162,22,10685
New Mexico,2013,40,1.84558,207,28,11216
New York,2013,40,0.582589,88,137,15105
North Carolina,2013,40,0.356983,64,53,17928
North Dakota,2013,40,0.0765697,1,8,1306
Ohio,2013,40,0.478911,57,38,11902
Oklahoma,2013,40,2.33181,87,20,3731
Oregon,2013,40,0.0904432,3,14,3317
Pennsylvania,2013,40,0.754364,137,55,18161
Rhode Island,2013,40,0.0931677,6,20,6440
South Carolina,2013,40,0.272533,14,15,5137
South Dakota,2013,40,0.672156,40,24,5951
Tennessee,2013,40,0.292969,30,52,10240
Texas,2013,40,2.2366,954,120,42654
Utah,2013,40,1.16469,200,44,17172
Vermont,2013,40,1.77116,63,11,3557
Virginia,2013,40,1.28394,914,110,71187
Washington,2013,40,0.569882,40,16,7019
West Virginia,2013,40,0.425137,55,35,12937
Wisconsin,2013,40,0.704887,30,29,4256
Wyoming,2013,40,0.451778,23,26,5091
Puerto Rico,2013,40,5.16129,40,1,775
Virgin Islands,2013,40,1.59151,6,1,377
New York City,2013,40,1.52274,1496,61,98244
Alabama,2013,41,1.71352,217,29,12664
Alaska,2013,41,0.838926,15,8,1788
Arizona,2013,41,1.00148,291,59,29057
Arkansas,2013,41,1.58351,73,19,4610
California,2013,41,1.75269,744,137,42449
Colorado,2013,41,0.618727,135,11,21819
Connecticut,2013,41,0.765879,58,28,7573
Delaware,2013,41,0.0378215,1,11,2644
District of Columbia,2013,41,6.02353,128,3,2125
Florida,2013,41,X,X,X,X
Georgia,2013,41,0.971469,333,41,34278
Hawaii,2013,41,1.98556,33,17,1662
Idaho,2013,41,0.553385,17,8,3072
Illinois,2013,41,1.52682,932,107,61042
Indiana,2013,41,0.89906,88,38,9788
Iowa,2013,41,0.198186,71,21,35825
Kansas,2013,41,0.600429,42,32,6995
Kentucky,2013,41,0.168366,35,16,20788
Louisiana,2013,41,2.23888,723,56,32293
Maine,2013,41,0.554468,34,33,6132
Maryland,2013,41,0.985784,95,17,9637
Massachusetts,2013,41,0.702243,227,59,32325
Michigan,2013,41,1.1484,193,46,16806
Minnesota,2013,41,0.660264,33,13,4998
Mississippi,2013,41,2.88654,491,42,17010
Missouri,2013,41,1.32619,104,23,7842
Montana,2013,41,0.113766,3,8,2637
Nebraska,2013,41,0.76,19,15,2500
Nevada,2013,41,0.777235,124,34,15954
New Hampshire,2013,41,0.0736784,4,30,5429
New Jersey,2013,41,1.49528,179,26,11971
New Mexico,2013,41,1.81932,204,28,11213
New York,2013,41,0.552562,81,139,14659
North Carolina,2013,41,0.867367,151,56,17409
North Dakota,2013,41,0.0485909,1,10,2058
Ohio,2013,41,0.646813,96,46,14842
Oklahoma,2013,41,1.87829,75,19,3993
Oregon,2013,41,0.151668,6,13,3956
Pennsylvania,2013,41,0.826735,142,52,17176
Rhode Island,2013,41,0.118143,7,20,5925
South Carolina,2013,41,0.334804,22,17,6571
South Dakota,2013,41,0.938385,53,23,5648
Tennessee,2013,41,0.245376,26,51,10596
Texas,2013,41,2.39646,1078,125,44983
Utah,2013,41,1.29191,267,45,20667
Vermont,2013,41,1.84513,61,10,3306
Virginia,2013,41,1.28999,846,99,65582
Washington,2013,41,0.469106,35,16,7461
West Virginia,2013,41,0.600144,75,35,12497
Wisconsin,2013,41,1.06082,45,33,4242
Wyoming,2013,41,0.645919,33,24,5109
Puerto Rico,2013,41,6.28492,45,1,716
Virgin Islands,2013,41,0.952381,4,1,420
New York City,2013,41,1.42045,1354,62,95322
Alabama,2013,42,1.58193,243,30,15361
Alaska,2013,42,0.655431,14,9,2136
Arizona,2013,42,1.05946,302,61,28505
Arkansas,2013,42,1.67325,72,19,4303
California,2013,42,1.74662,687,133,39333
Colorado,2013,42,0.513635,110,10,21416
Connecticut,2013,42,0.851115,71,27,8342
Delaware,2013,42,0.758725,20,12,2636
District of Columbia,2013,42,5.67605,123,3,2167
Florida,2013,42,X,X,X,X
Georgia,2013,42,1.01722,355,40,34899
Hawaii,2013,42,1.98925,37,18,1860
Idaho,2013,42,0.822763,24,8,2917
Illinois,2013,42,1.60253,937,103,58470
Indiana,2013,42,0.984087,94,38,9552
Iowa,2013,42,0.208695,77,22,36896
Kansas,2013,42,0.572597,42,36,7335
Kentucky,2013,42,0.284356,58,17,20397
Louisiana,2013,42,2.30027,708,57,30779
Maine,2013,42,0.826162,48,33,5810
Maryland,2013,42,0.930275,103,20,11072
Massachusetts,2013,42,0.838235,238,58,28393
Michigan,2013,42,1.27306,216,48,16967
Minnesota,2013,42,0.510856,24,12,4698
Mississippi,2013,42,3.59019,615,42,17130
Missouri,2013,42,1.00076,79,23,7894
Montana,2013,42,0.0796495,2,8,2511
Nebraska,2013,42,0.79698,19,15,2384
Nevada,2013,42,0.714734,114,34,15950
New Hampshire,2013,42,0.0366838,2,30,5452
New Jersey,2013,42,1.75227,160,25,9131
New Mexico,2013,42,1.70027,183,28,10763
New York,2013,42,0.573782,85,141,14814
North Carolina,2013,42,0.746314,124,55,16615
North Dakota,2013,42,0.0484966,1,11,2062
Ohio,2013,42,0.525323,78,47,14848
Oklahoma,2013,42,2.11759,85,20,4014
Oregon,2013,42,0.443568,18,17,4058
Pennsylvania,2013,42,0.711153,120,54,16874
Rhode Island,2013,42,0.10915,6,20,5497
South Carolina,2013,42,0.365519,24,18,6566
South Dakota,2013,42,0.586354,33,23,5628
Tennessee,2013,42,0.323485,30,51,9274
Texas,2013,42,2.65115,1087,122,41001
Utah,2013,42,1.3136,229,42,17433
Vermont,2013,42,1.4652,56,11,3822
Virginia,2013,42,1.44527,984,107,68084
Washington,2013,42,0.462509,33,16,7135
West Virginia,2013,42,0.450942,62,38,13749
Wisconsin,2013,42,0.492459,32,32,6498
Wyoming,2013,42,0.305052,16,24,5245
Puerto Rico,2013,42,7.71277,58,1,752
Virgin Islands,2013,42,2.98913,11,1,368
New York City,2013,42,1.50881,1453,71,96301
Alabama,2013,43,3.05901,452,30,14776
Alaska,2013,43,0.640732,14,9,2185
Arizona,2013,43,0.840393,249,60,29629
Arkansas,2013,43,1.7695,76,18,4295
California,2013,43,1.77965,744,133,41806
Colorado,2013,43,0.76778,171,10,22272
Connecticut,2013,43,1.32646,54,20,4071
Delaware,2013,43,1.43247,42,12,2932
District of Columbia,2013,43,6.50195,150,3,2307
Florida,2013,43,X,X,X,X
Georgia,2013,43,1.1974,418,41,34909
Hawaii,2013,43,1.95767,37,19,1890
Idaho,2013,43,0.312392,9,8,2881
Illinois,2013,43,1.73267,1036,101,59792
Indiana,2013,43,1.11026,102,38,9187
Iowa,2013,43,0.217745,83,21,38118
Kansas,2013,43,0.927118,72,34,7766
Kentucky,2013,43,0.38655,83,18,21472
Louisiana,2013,43,2.62847,912,62,34697
Maine,2013,43,0.631413,40,33,6335
Maryland,2013,43,0.838383,101,20,12047
Massachusetts,2013,43,0.714331,224,58,31358
Michigan,2013,43,1.07441,189,49,17591
Minnesota,2013,43,1.12782,57,16,5054
Mississippi,2013,43,4.09245,664,41,16225
Missouri,2013,43,1.24873,98,23,7848
Montana,2013,43,0,0,8,2500
Nebraska,2013,43,0.947672,23,15,2427
Nevada,2013,43,0.745461,124,39,16634
New Hampshire,2013,43,0.122951,6,29,4880
New Jersey,2013,43,1.73516,209,26,12045
New Mexico,2013,43,1.83791,210,28,11426
New York,2013,43,0.753849,118,140,15653
North Carolina,2013,43,0.734639,132,54,17968
North Dakota,2013,43,0.145419,3,11,2063
Ohio,2013,43,0.541415,87,48,16069
Oklahoma,2013,43,2.4853,93,19,3742
Oregon,2013,43,0.321268,15,19,4669
Pennsylvania,2013,43,0.794165,147,55,18510
Rhode Island,2013,43,0.178227,12,20,6733
South Carolina,2013,43,0.572246,36,17,6291
South Dakota,2013,43,0.587293,33,24,5619
Tennessee,2013,43,0.260769,27,49,10354
Texas,2013,43,2.45818,1102,123,44830
Utah,2013,43,1.49544,308,44,20596
Vermont,2013,43,1.56829,55,11,3507
Virginia,2013,43,1.51564,1032,106,68090
Washington,2013,43,0.654889,43,16,6566
West Virginia,2013,43,0.63305,87,39,13743
Wisconsin,2013,43,0.945354,41,33,4337
Wyoming,2013,43,0.368,23,26,6250
Puerto Rico,2013,43,4.5045,45,1,999
Virgin Islands,2013,43,1.79949,7,1,389
New York City,2013,43,1.69964,1646,71,96844
Alabama,2013,44,2.89768,435,31,15012
Alaska,2013,44,0.457666,10,9,2185
Arizona,2013,44,1.04156,303,62,29091
Arkansas,2013,44,2.37823,104,19,4373
California,2013,44,1.99307,828,139,41544
Colorado,2013,44,0.547727,117,10,21361
Connecticut,2013,44,1.78213,80,22,4489
Delaware,2013,44,1.11441,30,12,2692
District of Columbia,2013,44,5.20038,109,3,2096
Florida,2013,44,X,X,X,X
Georgia,2013,44,1.44104,512,41,35530
Hawaii,2013,44,2.10403,36,18,1711
Idaho,2013,44,0.531538,15,8,2822
Illinois,2013,44,1.84818,1072,101,58003
Indiana,2013,44,1.01808,98,38,9626
Iowa,2013,44,0.291361,106,21,36381
Kansas,2013,44,0.990375,71,33,7169
Kentucky,2013,44,0.538913,111,18,20597
Louisiana,2013,44,2.65535,832,59,31333
Maine,2013,44,0.31428,16,27,5091
Maryland,2013,44,0.684679,93,24,13583
Massachusetts,2013,44,0.752864,230,57,30550
Michigan,2013,44,1.15028,201,52,17474
Minnesota,2013,44,1.32789,65,16,4895
Mississippi,2013,44,4.3561,664,40,15243
Missouri,2013,44,1.06213,80,21,7532
Montana,2013,44,0.0776096,2,7,2577
Nebraska,2013,44,0.472306,11,15,2329
Nevada,2013,44,0.804817,135,40,16774
New Hampshire,2013,44,0.144796,8,30,5525
New Jersey,2013,44,1.66137,204,27,12279
New Mexico,2013,44,1.949,214,28,10980
New York,2013,44,0.719563,112,145,15565
North Carolina,2013,44,0.821066,140,53,17051
North Dakota,2013,44,0.739523,9,8,1217
Ohio,2013,44,0.565866,93,49,16435
Oklahoma,2013,44,2.48809,94,19,3778
Oregon,2013,44,0.459559,20,17,4352
Pennsylvania,2013,44,0.829274,143,53,17244
Rhode Island,2013,44,0.337942,22,20,6510
South Carolina,2013,44,0.558744,37,17,6622
South Dakota,2013,44,0.709478,39,24,5497
Tennessee,2013,44,0.294748,33,52,11196
Texas,2013,44,2.54797,1118,123,43878
Utah,2013,44,1.272,451,44,35456
Vermont,2013,44,1.31212,47,11,3582
Virginia,2013,44,1.63527,1105,104,67573
Washington,2013,44,0.587889,40,17,6804
West Virginia,2013,44,0.578331,79,42,13660
Wisconsin,2013,44,0.988609,46,31,4653
Wyoming,2013,44,0.576541,29,21,5030
Puerto Rico,2013,44,7.33057,53,1,723
Virgin Islands,2013,44,2.16718,7,1,323
New York City,2013,44,1.81474,1717,70,94614
Alabama,2013,45,3.31035,509,32,15376
Alaska,2013,45,0.563258,13,10,2308
Arizona,2013,45,1.14376,327,63,28590
Arkansas,2013,45,1.96604,88,16,4476
California,2013,45,2.29774,977,147,42520
Colorado,2013,45,0.679462,154,10,22665
Connecticut,2013,45,1.81609,79,22,4350
Delaware,2013,45,1.22997,33,12,2683
District of Columbia,2013,45,7.20887,156,3,2164
Florida,2013,45,X,X,X,X
Georgia,2013,45,1.57451,557,41,35376
Hawaii,2013,45,2.20936,42,18,1901
Idaho,2013,45,0.390117,12,8,3076
Illinois,2013,45,1.79131,1069,104,59677
Indiana,2013,45,1.12326,113,38,10060
Iowa,2013,45,0.261519,97,22,37091
Kansas,2013,45,1.12446,88,34,7826
Kentucky,2013,45,0.564254,120,17,21267
Louisiana,2013,45,3.02091,945,55,31282
Maine,2013,45,0.329075,17,28,5166
Maryland,2013,45,0.722491,100,24,13841
Massachusetts,2013,45,0.792602,252,56,31794
Michigan,2013,45,1.35071,228,49,16880
Minnesota,2013,45,0.953188,45,16,4721
Mississippi,2013,45,4.64586,835,42,17973
Missouri,2013,45,1.16895,86,20,7357
Montana,2013,45,0.0376932,1,8,2653
Nebraska,2013,45,0.690407,19,16,2752
Nevada,2013,45,1.00333,178,40,17741
New Hampshire,2013,45,0.273684,13,29,4750
New Jersey,2013,45,1.60633,201,27,12513
New Mexico,2013,45,2.03065,216,27,10637
New York,2013,45,0.850487,138,144,16226
North Carolina,2013,45,0.891586,144,50,16151
North Dakota,2013,45,0.234926,3,11,1277
Ohio,2013,45,0.684692,98,42,14313
Oklahoma,2013,45,3.53245,123,18,3482
Oregon,2013,45,0.307613,12,18,3901
Pennsylvania,2013,45,0.773813,139,51,17963
Rhode Island,2013,45,0.152486,10,20,6558
South Carolina,2013,45,0.450721,30,16,6656
South Dakota,2013,45,0.889713,48,23,5395
Tennessee,2013,45,0.370059,44,54,11890
Texas,2013,45,2.98433,1202,110,40277
Utah,2013,45,1.263,458,44,36263
Vermont,2013,45,1.86391,63,11,3380
Virginia,2013,45,1.56031,1046,102,67038
Washington,2013,45,0.39869,28,16,7023
West Virginia,2013,45,0.714434,103,41,14417
Wisconsin,2013,45,1.09842,50,33,4552
Wyoming,2013,45,0.576419,33,24,5725
Puerto Rico,2013,45,4.75578,37,1,778
Virgin Islands,2013,45,2.43902,9,1,369
New York City,2013,45,1.90385,1744,73,91604
Alabama,2013,46,3.30741,506,32,15299
Alaska,2013,46,0.429185,9,10,2097
Arizona,2013,46,1.07193,293,63,27334
Arkansas,2013,46,1.76103,79,17,4486
California,2013,46,2.29161,888,146,38750
Colorado,2013,46,0.593258,132,9,22250
Connecticut,2013,46,1.17647,53,25,4505
Delaware,2013,46,1.28205,35,12,2730
District of Columbia,2013,46,7.79841,147,3,1885
Florida,2013,46,X,X,X,X
Georgia,2013,46,1.66375,580,40,34861
Hawaii,2013,46,2.1264,36,19,1693
Idaho,2013,46,0.870687,27,8,3101
Illinois,2013,46,1.80678,1060,103,58668
Indiana,2013,46,1.12862,111,38,9835
Iowa,2013,46,0.201719,69,21,34206
Kansas,2013,46,0.736096,54,33,7336
Kentucky,2013,46,0.464582,97,17,20879
Louisiana,2013,46,3.04197,1035,60,34024
Maine,2013,46,0.698273,38,31,5442
Maryland,2013,46,1.02634,120,24,11692
Massachusetts,2013,46,0.858244,265,56,30877
Michigan,2013,46,1.4787,252,51,17042
Minnesota,2013,46,0.463714,20,15,4313
Mississippi,2013,46,5.02288,889,43,17699
Missouri,2013,46,1.23795,95,22,7674
